country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
RO,Romania,Bucharest,,07/05/2020,-64,-30,-67,-65,-55,23
RO,Romania,Bucharest,,08/05/2020,-63,-27,-64,-59,-49,22
RO,Romania,Bucharest,,09/05/2020,-69,-28,-65,-55,-28,12
RO,Romania,Bucharest,,10/05/2020,-71,-31,-62,-57,-26,10
RO,Romania,Bucharest,,11/05/2020,-60,-28,-58,-60,-54,21
RO,Romania,Bucharest,,12/05/2020,-61,-28,-60,-60,-55,21
RO,Romania,Bucharest,,13/05/2020,-58,-23,-58,-58,-54,20
RO,Romania,Bucharest,,14/05/2020,-59,-24,-58,-59,-52,19
RO,Romania,Bucharest,,15/05/2020,-46,-15,-18,-41,-43,13
RO,Romania,Bucharest,,16/05/2020,-52,-20,7,-33,-20,2
RO,Romania,Bucharest,,17/05/2020,-53,-19,-2,-33,-16,0
RO,Romania,Bucharest,,18/05/2020,-40,-16,-27,-45,-46,13
RO,Romania,Bucharest,,19/05/2020,-42,-15,-14,-44,-46,14
RO,Romania,Bucharest,,20/05/2020,-42,-12,-63,-43,-46,14
RO,Romania,Bucharest,,21/05/2020,-44,-14,-63,-48,-46,16
RO,Romania,Bucharest,,22/05/2020,-47,-18,-56,-40,-38,13
RO,Romania,Bucharest,,23/05/2020,-49,-17,-12,-26,-13,2
RO,Romania,Bucharest,,24/05/2020,-54,-20,-44,-35,-15,2
RO,Romania,Bucharest,,25/05/2020,-41,-16,-51,-43,-46,14
